activityid subid variable value
213 3 6 tBodyAccmeanY -0.019536840063125
214 4 6 tBodyAccmeanY -0.0145911615290909
215 5 6 tBodyAccmeanY -0.0181236327175439
216 6 6 tBodyAccmeanY -0.0102529170561404
217 1 7 tBodyAccmeanY -0.018653665345614
218 2 7 tBodyAccmeanY -0.0275639005607843
219 3 7 tBodyAccmeanY -0.0166332372978723
220 4 7 tBodyAccmeanY -0.01461097580375
221 5 7 tBodyAccmeanY -0.0145740341037736
222 6 7 tBodyAccmeanY -0.0204411516884615
223 1 8 tBodyAccmeanY -0.0186628865310417
224 2 8 tBodyAccmeanY -0.0282415136341463
225 3 8 tBodyAccmeanY -0.0211058674973684
226 4 8 tBodyAccmeanY -0.00672550621304348
227 5 8 tBodyAccmeanY -0.0148113067148148
228 6 8 tBodyAccmeanY -0.0212281733881481
229 1 9 tBodyAccmeanY -0.0180891971284423
230 2 9 tBodyAccmeanY -0.0195101099975714
231 3 9 tBodyAccmeanY -0.0203994269075476
232 4 9 tBodyAccmeanY -0.02701677698
233 5 9 tBodyAccmeanY -0.0200454954022222
234 6 9 tBodyAccmeanY -0.020526821662
235 1 10 tBodyAccmeanY -0.017022351190566
236 2 10 tBodyAccmeanY -0.0143854920340426
237 3 10 tBodyAccmeanY -0.0200050770710526
238 4 10 tBodyAccmeanY -0.015042681852037
239 5 10 tBodyAccmeanY -0.0155418603409091
240 6 10 tBodyAccmeanY -0.024294484137931
241 1 11 tBodyAccmeanY -0.0166475833623729
242 2 11 tBodyAccmeanY -0.0303157822055556
243 3 11 tBodyAccmeanY -0.0178097721219565
244 4 11 tBodyAccmeanY -0.0149195616754717
245 5 11 tBodyAccmeanY -0.0171990886595745
246 6 11 tBodyAccmeanY -0.0176598052315789
247 1 12 tBodyAccmeanY -0.015560927606
248 2 12 tBodyAccmeanY -0.0263574903403846
249 3 12 tBodyAccmeanY -0.018084266865793
250 4 12 tBodyAccmeanY -0.0157892988523529
251 5 12 tBodyAccmeanY -0.0169002543196721
252 6 12 tBodyAccmeanY -0.0175203917146667
253 1 13 tBodyAccmeanY -0.0185660651947368
254 2 13 tBodyAccmeanY -0.0277392253910909
255 3 13 tBodyAccmeanY -0.0143723839108511
256 4 13 tBodyAccmeanY -0.00587732936326531
257 5 13 tBodyAccmeanY -0.0167891993964912
258 6 13 tBodyAccmeanY -0.020440454366129
259 1 14 tBodyAccmeanY -0.0217785380966102
260 2 14 tBodyAccmeanY -0.0204388180024074
261 3 14 tBodyAccmeanY -0.0200141413657778
262 4 14 tBodyAccmeanY -0.00870565463888889
263 5 14 tBodyAccmeanY -0.01520781344
264 6 14 tBodyAccmeanY -0.0113424652490196
265 1 15 tBodyAccmeanY -0.0170809740090741
266 2 15 tBodyAccmeanY -0.0287523860708333
267 3 15 tBodyAccmeanY -0.00563047804309524
268 4 15 tBodyAccmeanY -0.0117188472271186
269 5 15 tBodyAccmeanY -0.0183516360396226
270 6 15 tBodyAccmeanY -0.0166296542054167
271 1 16 tBodyAccmeanY -0.0204286929452941
272 2 16 tBodyAccmeanY -0.0143654945011765
273 3 16 tBodyAccmeanY -0.0183898583787234
274 4 16 tBodyAccmeanY -0.0102497939956522
275 5 16 tBodyAccmeanY -0.0165999672935897
276 6 16 tBodyAccmeanY -0.0166103510562857
277 1 17 tBodyAccmeanY -0.0184875403339344
278 2 17 tBodyAccmeanY -0.0228645614308333
279 3 17 tBodyAccmeanY -0.0167359404347826
280 4 17 tBodyAccmeanY -0.014156274084375
281 5 17 tBodyAccmeanY -0.0174120064169231
282 6 17 tBodyAccmeanY -0.0168462006729577
283 1 18 tBodyAccmeanY -0.0178023631866071
284 2 18 tBodyAccmeanY -0.0222060684378914
285 3 18 tBodyAccmeanY -0.0168666920221818
286 4 18 tBodyAccmeanY -0.0128691279736842
287 5 18 tBodyAccmeanY -0.0166353518150685
288 6 18 tBodyAccmeanY -0.0173937684615385
289 1 19 tBodyAccmeanY -0.0191773587903846
290 2 19 tBodyAccmeanY -0.0303986615775
291 3 19 tBodyAccmeanY -0.0145942275069487
292 4 19 tBodyAccmeanY -0.016739260030137
293 5 19 tBodyAccmeanY -0.0154244056945205
294 6 19 tBodyAccmeanY -0.0171426864421687
295 1 20 tBodyAccmeanY -0.021199992245098
296 2 20 tBodyAccmeanY -0.0282258047588235
297 3 20 tBodyAccmeanY -0.00964120773155556
298 4 20 tBodyAccmeanY -0.0147229305131818
299 5 20 tBodyAccmeanY -0.0180695049161644
300 6 20 tBodyAccmeanY -0.0144406281132353
301 1 21 tBodyAccmeanY -0.0181610317526923
302 2 21 tBodyAccmeanY -0.0237218695148936
303 3 21 tBodyAccmeanY -0.0173195390157778
304 4 21 tBodyAccmeanY -0.0144009705494118
305 5 21 tBodyAccmeanY -0.0167084730205618
306 6 21 tBodyAccmeanY -0.0184233048415556
307 1 22 tBodyAccmeanY -0.0167213607957174
308 2 22 tBodyAccmeanY -0.0268622561133333
309 3 22 tBodyAccmeanY -0.0197999371686389
310 4 22 tBodyAccmeanY -0.0123468446419355
311 5 22 tBodyAccmeanY -0.0158563207496825
312 6 22 tBodyAccmeanY -0.0142629864502778
313 1 23 tBodyAccmeanY -0.0183618711932203
314 2 23 tBodyAccmeanY -0.0323844029237255
315 3 23 tBodyAccmeanY -0.0162111457238889
316 4 23 tBodyAccmeanY -0.0133945015676471
317 5 23 tBodyAccmeanY -0.0177475547867647
318 6 23 tBodyAccmeanY -0.0216553835833333
319 1 24 tBodyAccmeanY -0.0225446400534483
320 2 24 tBodyAccmeanY -0.0251979434569492
321 3 24 tBodyAccmeanY -0.0145730348310909
322 4 24 tBodyAccmeanY -0.0131255097938235
323 5 24 tBodyAccmeanY -0.0144785340348986
324 6 24 tBodyAccmeanY -0.0173555210111111
325 1 25 tBodyAccmeanY -0.0186477624716216
326 2 25 tBodyAccmeanY -0.0269863524264615
327 3 25 tBodyAccmeanY -0.0210170522987931
328 4 25 tBodyAccmeanY -0.0147696808030769
329 5 25 tBodyAccmeanY -0.0163569730274324
330 6 25 tBodyAccmeanY -0.0188943663671233
331 1 26 tBodyAccmeanY -0.0154259586949153
332 2 26 tBodyAccmeanY -0.0281633797398182
333 3 26 tBodyAccmeanY -0.01262580966778
334 4 26 tBodyAccmeanY -0.00713364541358974
335 5 26 tBodyAccmeanY -0.0166608306652703
336 6 26 tBodyAccmeanY -0.0191895728026316
337 1 27 tBodyAccmeanY -0.0166478783221912
338 2 27 tBodyAccmeanY -0.0200953324078431
339 3 27 tBodyAccmeanY -0.0135564467159091
340 4 27 tBodyAccmeanY -0.0155269799285714
341 5 27 tBodyAccmeanY -0.016593236445
342 6 27 tBodyAccmeanY -0.0179867611216216
343 1 28 tBodyAccmeanY -0.0156759722981481
344 2 28 tBodyAccmeanY -0.0279443943478431
345 3 28 tBodyAccmeanY -0.0220230465913043
346 4 28 tBodyAccmeanY -0.0185404441258333
347 5 28 tBodyAccmeanY -0.0172635124672152
348 6 28 tBodyAccmeanY -0.0167537858225
349 1 29 tBodyAccmeanY -0.0162915600588679
350 2 29 tBodyAccmeanY -0.0299465312326531
351 3 29 tBodyAccmeanY -0.01494121505625
352 4 29 tBodyAccmeanY -0.016630680375
353 5 29 tBodyAccmeanY -0.0172605869061538
354 6 29 tBodyAccmeanY -0.0171965484202899
355 1 30 tBodyAccmeanY -0.0175880385730769
356 2 30 tBodyAccmeanY -0.0253311698786154
357 3 30 tBodyAccmeanY -0.0174383900204839
358 4 30 tBodyAccmeanY -0.00804731295322581
359 5 30 tBodyAccmeanY -0.0170163887813559
360 6 30 tBodyAccmeanY -0.0194494098614286
361 1 1 tBodyAccmeanZ -0.111148103547368
362 2 1 tBodyAccmeanZ -0.0973020020943396
363 3 1 tBodyAccmeanZ -0.107566190908163
364 4 1 tBodyAccmeanZ -0.104544182255319
365 5 1 tBodyAccmeanZ -0.110601817735849
366 6 1 tBodyAccmeanZ -0.11320355358
367 1 2 tBodyAccmeanZ -0.105500357966102
368 2 2 tBodyAccmeanZ -0.152513899520833
369 3 2 tBodyAccmeanZ -0.116812942382979
370 4 2 tBodyAccmeanZ -0.109218272456522
371 5 2 tBodyAccmeanZ -0.105908536055556
372 6 2 tBodyAccmeanZ -0.107245610416667
373 1 3 tBodyAccmeanZ -0.112674859827586
374 2 3 tBodyAccmeanZ -0.110064863437288
375 3 3 tBodyAccmeanZ -0.116139842908163
376 4 3 tBodyAccmeanZ -0.0983579203269231
377 5 3 tBodyAccmeanZ -0.101621722633148
378 6 3 tBodyAccmeanZ -0.101300477506452
379 1 4 tBodyAccmeanZ -0.11140306485
380 2 4 tBodyAccmeanZ -0.114219455519231
381 3 4 tBodyAccmeanZ -0.1067775246
382 4 4 tBodyAccmeanZ -0.10587459588
383 5 4 tBodyAccmeanZ -0.0961574905535714
384 6 4 tBodyAccmeanZ -0.110688150314815
385 1 5 tBodyAccmeanZ -0.107741776464286
386 2 5 tBodyAccmeanZ -0.107471453914894
387 3 5 tBodyAccmeanZ -0.100319930659574
388 4 5 tBodyAccmeanZ -0.108540300265909
389 5 5 tBodyAccmeanZ -0.102171095696429
390 6 5 tBodyAccmeanZ -0.107937603673077
391 1 6 tBodyAccmeanZ -0.110303165877193
392 2 6 tBodyAccmeanZ -0.122082438784314
393 3 6 tBodyAccmeanZ -0.107209356208333
394 4 6 tBodyAccmeanZ -0.110127728709091
395 5 6 tBodyAccmeanZ -0.112172831947368
396 6 6 tBodyAccmeanZ -0.133119570368421
397 1 7 tBodyAccmeanZ -0.110912234947368
398 2 7 tBodyAccmeanZ -0.143769688803922
399 3 7 tBodyAccmeanZ -0.096938308587234
400 4 7 tBodyAccmeanZ -0.122464597625
401 5 7 tBodyAccmeanZ -0.0997778303207547
402 6 7 tBodyAccmeanZ -0.101361036576923
403 1 8 tBodyAccmeanZ -0.107252090833333
404 2 8 tBodyAccmeanZ -0.11512211995122
405 3 8 tBodyAccmeanZ -0.107598135394737
406 4 8 tBodyAccmeanZ -0.104461049130435
407 5 8 tBodyAccmeanZ -0.106114996837037
408 6 8 tBodyAccmeanZ -0.102245365611111
409 1 9 tBodyAccmeanZ -0.110820512307692
410 2 9 tBodyAccmeanZ -0.125219003959184
411 3 9 tBodyAccmeanZ -0.0910278793952381
412 4 9 tBodyAccmeanZ -0.07537846886
413 5 9 tBodyAccmeanZ -0.0952747481333333
414 6 9 tBodyAccmeanZ -0.10754972144
415 1 10 tBodyAccmeanZ -0.109057512132075
416 2 10 tBodyAccmeanZ -0.118180420834043
417 3 10 tBodyAccmeanZ -0.110848597247368
418 4 10 tBodyAccmeanZ -0.104253238796296
419 5 10 tBodyAccmeanZ -0.107964083931818
420 6 10 tBodyAccmeanZ -0.117168642362069
421 1 11 tBodyAccmeanZ -0.106096304033898
422 2 11 tBodyAccmeanZ -0.106797216481481
423 3 11 tBodyAccmeanZ -0.111070149978261
424 4 11 tBodyAccmeanZ -0.112840218339623
425 5 11 tBodyAccmeanZ -0.108686630425532
426 6 11 tBodyAccmeanZ -0.108786578070175
427 1 12 tBodyAccmeanZ -0.10316110632
428 2 12 tBodyAccmeanZ -0.107339730115385
429 3 12 tBodyAccmeanZ -0.10955593226087
430 4 12 tBodyAccmeanZ -0.106307228960784
431 5 12 tBodyAccmeanZ -0.105526999754098
432 6 12 tBodyAccmeanZ -0.108160125666667
433 1 13 tBodyAccmeanZ -0.111431456192982
434 2 13 tBodyAccmeanZ -0.125767265890909
435 3 13 tBodyAccmeanZ -0.101993941531915
436 4 13 tBodyAccmeanZ -0.0972465110836735
437 5 13 tBodyAccmeanZ -0.112124137754386
438 6 13 tBodyAccmeanZ -0.104331864532258
439 1 14 tBodyAccmeanZ -0.106756369135593
440 2 14 tBodyAccmeanZ -0.112279688983333
441 3 14 tBodyAccmeanZ -0.0928330165533333
442 4 14 tBodyAccmeanZ -0.100401490425926
443 5 14 tBodyAccmeanZ -0.103817701790667
444 6 14 tBodyAccmeanZ -0.0868333315509804
445 1 15 tBodyAccmeanZ -0.107621819518519
446 2 15 tBodyAccmeanZ -0.116952464895833
447 3 15 tBodyAccmeanZ -0.110526066428571
448 4 15 tBodyAccmeanZ -0.11366125320339
449 5 15 tBodyAccmeanZ -0.105910832679245
450 6 15 tBodyAccmeanZ -0.118530240291667
451 1 16 tBodyAccmeanZ -0.108804049803922
452 2 16 tBodyAccmeanZ -0.124074517745098
453 3 16 tBodyAccmeanZ -0.119873705148936
454 4 16 tBodyAccmeanZ -0.0891404038405797
455 5 16 tBodyAccmeanZ -0.103657729076923
456 6 16 tBodyAccmeanZ -0.107310493242857
457 1 17 tBodyAccmeanZ -0.109792122032787
458 2 17 tBodyAccmeanZ -0.121290442104167
459 3 17 tBodyAccmeanZ -0.0892432745173913
460 4 17 tBodyAccmeanZ -0.11362408509375
461 5 17 tBodyAccmeanZ -0.111432145565
462 6 17 tBodyAccmeanZ -0.107006279704225
463 1 18 tBodyAccmeanZ -0.104218315464286
464 2 18 tBodyAccmeanZ -0.112655891327586
465 3 18 tBodyAccmeanZ -0.1033908092
466 4 18 tBodyAccmeanZ -0.111904775824561
467 5 18 tBodyAccmeanZ -0.108453355945205
468 6 18 tBodyAccmeanZ -0.107698927907692
469 1 19 tBodyAccmeanZ -0.122736673192308
470 2 19 tBodyAccmeanZ -0.151054607725
471 3 19 tBodyAccmeanZ -0.133695240660974
472 4 19 tBodyAccmeanZ -0.10870765430137
473 5 19 tBodyAccmeanZ -0.10904190460274
474 6 19 tBodyAccmeanZ -0.10898146186747
475 1 20 tBodyAccmeanZ -0.113539477098039
476 2 20 tBodyAccmeanZ -0.121023947784314
477 3 20 tBodyAccmeanZ -0.104602925937778
478 4 20 tBodyAccmeanZ -0.108369634515152
479 5 20 tBodyAccmeanZ -0.100402759931507
480 6 20 tBodyAccmeanZ -0.104274322538235
481 1 21 tBodyAccmeanZ -0.104319332403846
482 2 21 tBodyAccmeanZ -0.125414265340426
483 3 21 tBodyAccmeanZ -0.09816866218
484 4 21 tBodyAccmeanZ -0.112057887741176
485 5 21 tBodyAccmeanZ -0.110417855808989
486 6 21 tBodyAccmeanZ -0.103253832233333
487 1 22 tBodyAccmeanZ -0.107112510934783
488 2 22 tBodyAccmeanZ -0.117550861738095
489 3 22 tBodyAccmeanZ -0.1074157796
490 4 22 tBodyAccmeanZ -0.105827369516129
491 5 22 tBodyAccmeanZ -0.104967423820635
492 6 22 tBodyAccmeanZ -0.110800924652778
493 1 23 tBodyAccmeanZ -0.113382994084746
494 2 23 tBodyAccmeanZ -0.126890616782353
495 3 23 tBodyAccmeanZ -0.0988123712574074
496 4 23 tBodyAccmeanZ -0.103808679294118
497 5 23 tBodyAccmeanZ -0.1105970177575
498 6 23 tBodyAccmeanZ -0.104256776291667
499 1 24 tBodyAccmeanZ -0.110595952913793
500 2 24 tBodyAccmeanZ -0.114248610966102
501 3 24 tBodyAccmeanZ -0.104818820272727
502 4 24 tBodyAccmeanZ -0.103041061426471
503 5 24 tBodyAccmeanZ -0.108222553855072
504 6 24 tBodyAccmeanZ -0.107236237236111
505 1 25 tBodyAccmeanZ -0.108737636297297
506 2 25 tBodyAccmeanZ -0.126210440292308
507 3 25 tBodyAccmeanZ -0.107192376965517
508 4 25 tBodyAccmeanZ -0.109160440476923
509 5 25 tBodyAccmeanZ -0.107352957594595
510 6 25 tBodyAccmeanZ -0.100428830260274
511 1 26 tBodyAccmeanZ -0.108927011474576
512 2 26 tBodyAccmeanZ -0.121943461236364
513 3 26 tBodyAccmeanZ -0.1064396194
514 4 26 tBodyAccmeanZ -0.0974448692333333
515 5 26 tBodyAccmeanZ -0.110237796416216
516 6 26 tBodyAccmeanZ -0.105002540289474
517 1 27 tBodyAccmeanZ -0.112822289263158
518 2 27 tBodyAccmeanZ -0.123530438196078
519 3 27 tBodyAccmeanZ -0.112837694688636
520 4 27 tBodyAccmeanZ -0.105521912588571
521 5 27 tBodyAccmeanZ -0.107835818025
522 6 27 tBodyAccmeanZ -0.107699732837838
523 1 28 tBodyAccmeanZ -0.103714705396296
524 2 28 tBodyAccmeanZ -0.121514025692157
525 3 28 tBodyAccmeanZ -0.10858897408913
526 4 28 tBodyAccmeanZ -0.111517939555556
527 5 28 tBodyAccmeanZ -0.106579385202532
528 6 28 tBodyAccmeanZ -0.1083448529625
529 1 29 tBodyAccmeanZ -0.106632427301887
530 2 29 tBodyAccmeanZ -0.118000587840816
531 3 29 tBodyAccmeanZ -0.0981339984895833
532 4 29 tBodyAccmeanZ -0.1104118192
533 5 29 tBodyAccmeanZ -0.108659067476923
534 6 29 tBodyAccmeanZ -0.109462068173913
535 1 30 tBodyAccmeanZ -0.0986247068969231
536 2 30 tBodyAccmeanZ -0.124697493775385
537 3 30 tBodyAccmeanZ -0.0999781422322581
538 4 30 tBodyAccmeanZ -0.099515446133871
539 5 30 tBodyAccmeanZ -0.108756209835593
540 6 30 tBodyAccmeanZ -0.1036581505
541 1 1 tGravityAccmeanX 0.935223201473684
542 2 1 tGravityAccmeanX 0.89335109754717
543 3 1 tGravityAccmeanX 0.931874418979592
544 4 1 tGravityAccmeanX 0.831509933404255
545 5 1 tGravityAccmeanX 0.942952000377358
546 6 1 tGravityAccmeanX -0.24888179828
547 1 2 tGravityAccmeanX 0.91301733338983
